event_id,artist_id,venue_id,start_date,attendance,average_ticket_price
EV-f93af439-6940,AR-4de1a19c-0779,VN-Amphitheatre16000FL-3dc55958-5495,10/30/15,14729,33.37
EV-4a315927-ef2a,AR-4de1a19c-0779,VN-Amphitheatre16000FL-3dc55958-5495,10/6/19,12505,43.7
EV-1c60b41f-facc,AR-4de1a19c-0779,VN-Amphitheatre14848CA-e47e2d91-c1be,10/2/14,14387,31.43
EV-f15ec8f5-b78f,AR-4de1a19c-0779,VN-Amphitheatre14848CA-e47e2d91-c1be,10/1/15,14366,33.24
EV-4f3d3998-625f,AR-4de1a19c-0779,VN-Amphitheatre14848CA-e47e2d91-c1be,9/1/16,14063,37.36
EV-b4572f37-7e6b,AR-4de1a19c-0779,VN-Amphitheatre14848CA-e47e2d91-c1be,8/9/19,13144,34.46
EV-8288b37e-c3c6,AR-4de1a19c-0779,VN-Amphitheatre14848CA-e47e2d91-c1be,9/26/21,10140,44.22
EV-4c24fc7c-3248,AR-4de1a19c-0779,VN-Amphitheatre16400CA-9083b955-c39a,10/10/14,15164,31.9
EV-f497eb94-615c,AR-4de1a19c-0779,VN-Amphitheatre16400CA-9083b955-c39a,10/2/15,15290,35.69
EV-5d4918f8-a47f,AR-4de1a19c-0779,VN-Amphitheatre16400CA-9083b955-c39a,10/11/17,8806,41.12
EV-f560c5d3-da95,AR-4de1a19c-0779,VN-Amphitheatre16400CA-9083b955-c39a,9/9/21,10392,42.12
EV-37438f20-08ed,AR-4de1a19c-0779,VN-Amphitheatre16400CA-9083b955-c39a,10/5/14,9642,26.87
EV-12ca72b7-c785,AR-4de1a19c-0779,VN-Amphitheatre16400CA-9083b955-c39a,9/5/19,9505,40.11
EV-2c310333-a837,AR-4de1a19c-0779,VN-Amphitheatre16400CA-9083b955-c39a,9/3/16,14466,38.64
EV-16a13cb6-a7b9,AR-4de1a19c-0779,VN-Amphitheatre14400CA-Own-81a2c12a-496a,10/11/14,13413,51.99
EV-c5e4e3ee-4dc6,AR-4de1a19c-0779,VN-Arena14880CA-cd363de5-13c6,10/12/14,9112,52.8
EV-1fe1a8e5-8663,AR-4de1a19c-0779,VN-Arena14880CA-cd363de5-13c6,9/9/16,8001,56.55
EV-dbdeab1e-8e38,AR-4de1a19c-0779,VN-Arena14880CA-cd363de5-13c6,5/22/16,6758,54.82
EV-f588522e-cf4f,AR-4de1a19c-0779,VN-Arena9600MI-6526eca0-c01a,1/27/15,8346,51.01
EV-62345826-2493,AR-4de1a19c-0779,VN-Arena8000IN-6fdd640b-11e5,1/28/15,6906,50.09
EV-ca89081f-3ffb,AR-4de1a19c-0779,VN-Arena8000IN-6fdd640b-11e5,2/4/16,6800,55.22
EV-ef1b508b-c95d,AR-4de1a19c-0779,VN-Arena14000KY-Own-96b7956b-f164,1/29/15,12266,47.31
EV-c5463ca6-16c1,AR-4de1a19c-0779,VN-Arena14000KY-Own-96b7956b-f164,2/4/18,9153,64.58
EV-5da7dc5c-c2af,AR-4de1a19c-0779,VN-Arena6400FL-d471e9df-7fab,2/4/15,4602,54.2
EV-30866ea2-b989,AR-4de1a19c-0779,VN-Arena9390FL-Own-64e98907-5328,2/5/15,7173,48.22
EV-133f13ce-22b3,AR-4de1a19c-0779,VN-Arena14800ON-0d77cbd7-6f91,4/17/15,11448,62.67
EV-a6959066-2be9,AR-4de1a19c-0779,VN-Arena16800ND-Own-b3e80253-08e2,4/24/15,13654,
EV-2980c7b8-b330,AR-4de1a19c-0779,VN-Arena9600SD-be572f6e-a30c,4/25/15,7872,50.33
EV-28613507-5cf7,AR-4de1a19c-0779,VN-Arena9600SD-be572f6e-a30c,5/26/18,7496,57.97
EV-ada32708-aa09,AR-4de1a19c-0779,VN-Arena18000WA-751466e8-6f51,5/2/15,14910,48.92
EV-aa617539-03d9,AR-4de1a19c-0779,VN-Stadium60900CO-Own-084d6657-c7d2,5/23/15,38642,56.92
